,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_loss,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,split4_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_tp,split1_test_tp,split2_test_tp,split3_test_tp,split4_test_tp,mean_test_tp,std_test_tp,rank_test_tp,split0_train_tp,split1_train_tp,split2_train_tp,split3_train_tp,split4_train_tp,mean_train_tp,std_train_tp,split0_test_tn,split1_test_tn,split2_test_tn,split3_test_tn,split4_test_tn,mean_test_tn,std_test_tn,rank_test_tn,split0_train_tn,split1_train_tn,split2_train_tn,split3_train_tn,split4_train_tn,mean_train_tn,std_train_tn,split0_test_fp,split1_test_fp,split2_test_fp,split3_test_fp,split4_test_fp,mean_test_fp,std_test_fp,rank_test_fp,split0_train_fp,split1_train_fp,split2_train_fp,split3_train_fp,split4_train_fp,mean_train_fp,std_train_fp,split0_test_fn,split1_test_fn,split2_test_fn,split3_test_fn,split4_test_fn,mean_test_fn,std_test_fn,rank_test_fn,split0_train_fn,split1_train_fn,split2_train_fn,split3_train_fn,split4_train_fn,mean_train_fn,std_train_fn,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_train_balanced_accuracy,split1_train_balanced_accuracy,split2_train_balanced_accuracy,split3_train_balanced_accuracy,split4_train_balanced_accuracy,mean_train_balanced_accuracy,std_train_balanced_accuracy
0,0.43628487586975095,0.09237901042855803,0.09446043968200683,0.021332462076211443,0.01,squared_hinge,"{'C': 0.01, 'loss': 'squared_hinge'}",0.7687861271676301,0.6994219653179191,0.6994219653179191,0.7341040462427746,0.7267441860465116,0.725695658018551,0.02572626203433717,5,0.7829232995658466,0.7858176555716353,0.7785817655571635,0.768451519536903,0.773121387283237,0.7777791255029571,0.006331247616266068,14.0,17.0,14.0,17.0,16.0,15.6,1.3564659966250536,1,79.0,80.0,83.0,80.0,81.0,80.6,1.3564659966250536,119.0,104.0,107.0,110.0,109.0,109.8,5.03587132480567,5,462.0,463.0,455.0,451.0,454.0,457.0,4.69041575982343,31.0,46.0,43.0,40.0,41.0,40.2,5.03587132480567,1,138.0,137.0,145.0,149.0,146.0,143.0,4.69041575982343,9.0,6.0,9.0,6.0,6.0,7.2,1.469693845669907,5,12.0,11.0,8.0,11.0,11.0,10.6,1.3564659966250536,0.7010144927536233,0.716231884057971,0.6610144927536232,0.7362318840579709,0.726969696969697,0.7082924901185771,0.02638431369609565,4,0.8190659340659341,0.8253937728937728,0.8352106227106226,0.8153937728937729,0.8185507246376812,0.8227229654403567,0.007036665854320066
1,2.0815027236938475,0.35519826739656385,0.10301346778869629,0.009004370248890687,0.1,squared_hinge,"{'C': 0.1, 'loss': 'squared_hinge'}",0.8728323699421965,0.8497109826589595,0.8208092485549133,0.838150289017341,0.8313953488372093,0.8425796478021239,0.017803040075720918,4,0.9536903039073806,0.9450072358900145,0.9406657018813314,0.9638205499276411,0.9624277456647399,0.9531223074542214,0.009191165336032373,12.0,16.0,16.0,14.0,15.0,14.6,1.4966629547095764,2,91.0,91.0,91.0,91.0,92.0,91.2,0.4,139.0,131.0,126.0,131.0,128.0,131.0,4.427188724235731,4,568.0,562.0,559.0,575.0,574.0,567.6,6.343500610861482,11.0,19.0,24.0,19.0,22.0,19.0,4.427188724235731,2,32.0,38.0,41.0,25.0,26.0,32.4,6.343500610861482,11.0,7.0,7.0,9.0,7.0,8.2,1.5999999999999999,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7242028985507246,0.7844927536231884,0.7678260869565217,0.7410144927536232,0.7675757575757576,0.7570223978919631,0.021522481761855,1,0.9733333333333334,0.9683333333333333,0.9658333333333333,0.9791666666666667,0.9783333333333333,0.9730000000000001,0.005286250509051256
2,3.300950050354004,0.5905433776033342,0.10792598724365235,0.015049763081402785,1,squared_hinge,"{'C': 1, 'loss': 'squared_hinge'}",0.884393063583815,0.8670520231213873,0.8323699421965318,0.861271676300578,0.8488372093023255,0.8587847829009275,0.01747577734531865,3,0.9985528219971056,0.9985528219971056,0.9985528219971056,1.0,0.9985549132947977,0.998842675857223,0.0005786626382380234,11.0,13.0,15.0,9.0,8.0,11.2,2.5612496949731396,5,91.0,91.0,91.0,91.0,92.0,91.2,0.4,142.0,137.0,129.0,140.0,138.0,137.2,4.445222154178573,3,599.0,599.0,599.0,600.0,599.0,599.2,0.4,8.0,13.0,21.0,10.0,12.0,12.8,4.445222154178573,3,1.0,1.0,1.0,0.0,1.0,0.8,0.4,12.0,10.0,8.0,14.0,14.0,11.6,2.33238075793812,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.712463768115942,0.7392753623188406,0.7560869565217392,0.6623188405797101,0.6418181818181818,0.7023926218708828,0.04386346278603629,5,0.9991666666666666,0.9991666666666666,0.9991666666666666,1.0,0.9991666666666666,0.9993333333333334,0.000333333333333341
3,4.579362154006958,0.5534652534719107,0.08544378280639649,0.017245209938998078,10.0,squared_hinge,"{'C': 10.0, 'loss': 'squared_hinge'}",0.8901734104046243,0.861271676300578,0.8554913294797688,0.8554913294797688,0.8662790697674418,0.8657413630864363,0.012863269743516047,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,11.0,11.0,16.0,10.0,10.0,11.6,2.244994432064365,4,91.0,91.0,91.0,91.0,92.0,91.2,0.4,143.0,138.0,132.0,138.0,139.0,138.0,3.521363372331802,2,600.0,600.0,600.0,600.0,600.0,600.0,0.0,7.0,12.0,18.0,12.0,11.0,12.0,3.521363372331802,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,7.0,13.0,12.0,11.2,2.1354156504062622,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7157971014492754,0.6991304347826087,0.7878260869565217,0.6773913043478261,0.6906060606060606,0.7141501976284585,0.038889548363970426,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,7.219533014297485,0.6144500315229608,0.05439281463623047,0.005580482967068256,100.0,squared_hinge,"{'C': 100.0, 'loss': 'squared_hinge'}",0.8901734104046243,0.8439306358381503,0.8728323699421965,0.8786127167630058,0.877906976744186,0.8726912219384326,0.015460183364432323,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,14.0,10.0,16.0,11.0,11.0,12.4,2.244994432064365,3,91.0,91.0,91.0,91.0,92.0,91.2,0.4,140.0,136.0,135.0,141.0,140.0,138.4,2.416609194718914,1,600.0,600.0,600.0,600.0,600.0,600.0,0.0,10.0,14.0,15.0,9.0,10.0,11.6,2.4166091947189146,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,7.0,12.0,11.0,10.4,2.1540659228538015,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7710144927536232,0.6707246376811594,0.7978260869565217,0.7091304347826086,0.7166666666666667,0.733072463768116,0.045524172980537014,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
