,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,split4_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_tp,split1_test_tp,split2_test_tp,split3_test_tp,split4_test_tp,mean_test_tp,std_test_tp,rank_test_tp,split0_train_tp,split1_train_tp,split2_train_tp,split3_train_tp,split4_train_tp,mean_train_tp,std_train_tp,split0_test_tn,split1_test_tn,split2_test_tn,split3_test_tn,split4_test_tn,mean_test_tn,std_test_tn,rank_test_tn,split0_train_tn,split1_train_tn,split2_train_tn,split3_train_tn,split4_train_tn,mean_train_tn,std_train_tn,split0_test_fp,split1_test_fp,split2_test_fp,split3_test_fp,split4_test_fp,mean_test_fp,std_test_fp,rank_test_fp,split0_train_fp,split1_train_fp,split2_train_fp,split3_train_fp,split4_train_fp,mean_train_fp,std_train_fp,split0_test_fn,split1_test_fn,split2_test_fn,split3_test_fn,split4_test_fn,mean_test_fn,std_test_fn,rank_test_fn,split0_train_fn,split1_train_fn,split2_train_fn,split3_train_fn,split4_train_fn,mean_train_fn,std_train_fn,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_train_balanced_accuracy,split1_train_balanced_accuracy,split2_train_balanced_accuracy,split3_train_balanced_accuracy,split4_train_balanced_accuracy,mean_train_balanced_accuracy,std_train_balanced_accuracy
0,0.08467531204223633,0.005661187625445352,0.04392051696777344,0.0034412709759383342,0.0001,{'C': 0.0001},0.9125,0.9125,0.9125,0.9113924050632911,0.9113924050632911,0.9120569620253164,0.0005426084873253904,1,0.9119496855345912,0.9119496855345912,0.9119496855345912,0.9122257053291536,0.9122257053291536,0.9120600934524162,0.0001352215311171323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,73.0,73.0,72.0,72.0,72.6,0.4898979485566356,1,290.0,290.0,290.0,291.0,291.0,290.4,0.48989794855663565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,1,28.0,28.0,28.0,28.0,28.0,28.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
1,0.09680037498474121,0.009835547832769988,0.04440174102783203,0.0023395918521625122,0.01,{'C': 0.01},0.5875,0.475,0.6125,0.6582278481012658,0.6455696202531646,0.595759493670886,0.06529113739993421,5,0.5754716981132075,0.5817610062893082,0.6761006289308176,0.7586206896551724,0.6018808777429467,0.6387669801462905,0.06982158885065033,3.0,3.0,4.0,1.0,5.0,3.2,1.32664991614216,1,22.0,22.0,18.0,15.0,20.0,19.4,2.65329983228432,44.0,35.0,45.0,51.0,46.0,44.2,5.192301994298868,5,161.0,163.0,197.0,227.0,172.0,184.0,25.027984337537053,29.0,38.0,28.0,21.0,26.0,28.4,5.535341001239218,1,129.0,127.0,93.0,64.0,119.0,106.4,24.78386571945547,4.0,4.0,3.0,6.0,2.0,3.8,1.32664991614216,5,6.0,6.0,10.0,13.0,8.0,8.6,2.65329983228432,0.5156555772994129,0.45401174168297453,0.5939334637964775,0.42559523809523814,0.6765873015873016,0.5331566644922809,0.09209325089183898,4,0.6704433497536946,0.6738916256157635,0.6610837438423646,0.6578915071183112,0.6526755031909671,0.6631971459042202,0.007876555124109756
2,0.14473872184753417,0.00985709912397754,0.043636751174926755,0.001074725555674363,1.0,{'C': 1.0},0.825,0.85,0.7625,0.8734177215189873,0.7974683544303798,0.8216772151898735,0.03893151106851457,4,0.9779874213836478,0.9811320754716981,0.9874213836477987,0.9780564263322884,0.9843260188087775,0.981784665128842,0.003659939126095583,1.0,0.0,2.0,3.0,3.0,1.8,1.1661903789690602,3,28.0,28.0,28.0,28.0,28.0,28.0,0.0,65.0,68.0,59.0,66.0,60.0,63.6,3.4985711369071804,4,283.0,284.0,286.0,284.0,286.0,284.6,1.2,8.0,5.0,14.0,6.0,12.0,9.0,3.4641016151377544,2,7.0,6.0,4.0,7.0,5.0,5.8,1.16619037896906,6.0,7.0,5.0,4.0,4.0,5.2,1.16619037896906,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5166340508806262,0.4657534246575342,0.5469667318982387,0.6726190476190476,0.6309523809523809,0.5665851272015655,0.07541002497327352,3,0.9879310344827585,0.9896551724137931,0.993103448275862,0.9879725085910653,0.9914089347079038,0.9900142196942765,0.0020062763021382645
3,0.15343384742736815,0.016771610454258963,0.04111471176147461,0.0037954512891201974,100.0,{'C': 100.0},0.8875,0.8625,0.8625,0.9113924050632911,0.7974683544303798,0.8642721518987342,0.03802336015294992,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,3.0,1.0,1.6,1.019803902718557,4,28.0,28.0,28.0,28.0,28.0,28.0,0.0,69.0,69.0,67.0,69.0,62.0,67.2,2.7129319932501073,2,290.0,290.0,290.0,291.0,291.0,290.4,0.48989794855663565,4.0,4.0,6.0,3.0,10.0,5.4,2.4979991993593593,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,5.0,4.0,6.0,5.4,1.0198039027185568,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6154598825831703,0.4726027397260274,0.601761252446184,0.6934523809523809,0.501984126984127,0.577052076538378,0.08022417941956062,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,0.11646885871887207,0.0058690354711844386,0.039133119583129886,0.007172518267539081,10000.0,{'C': 10000.0},0.875,0.85,0.825,0.9113924050632911,0.7848101265822784,0.849240506329114,0.04304849089687859,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,2.0,2.0,0.8944271909999159,2,28.0,28.0,28.0,28.0,28.0,28.0,0.0,69.0,67.0,63.0,69.0,60.0,65.6,3.555277766926235,3,290.0,290.0,290.0,291.0,291.0,290.4,0.48989794855663565,4.0,6.0,10.0,3.0,12.0,7.0,3.4641016151377544,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,4.0,5.0,5.0,0.8944271909999159,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5440313111545988,0.5303326810176126,0.6457925636007827,0.6934523809523809,0.5595238095238095,0.5946265492498369,0.06373427332716744,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
